Sito,Id_prodotto,Url,Nome,Tipo,Tipo_specifico,Brand,Social,Descrizione,Genere,Colore,Eccentrico,Prezzo,Immagine,Fattore_tecnico,Tecnico,Fattore_ambientale,ecologico,prediction_tecnico
decathlon,8552601,https://www.decathlon.it/pantaloni-donna-run-warm-neri-id_8552601.html,pantaloni running donna run warm neri,pantaloni,pantaloni,kalenji,no,"abbiamo ideato questi pantaloni per proteggerti dal freddo durante il running. prodotto testato per un comfort ottimale tra -5 e 0C°.pantaloni per il running caldi e confortevoli, al miglior prezzo!i vantaggi
calore
tessuto tecnico che permette un buon isolamento dal freddo.
tasche
tasca posteriore con zip per trasportare gli effetti personali mentre si corre.
traspirazione
tessuto traspirante per rimanere all'asciutto.
limitazione irritazioni
lavorazione senza cuciture sul cavallo per limitare gli sfregamenti.
sostegno
larga fascia in vita con coulisse, per un sostegno ottimale.
ecodesign
tessuto prodotto a partire da materiali riciclati.informazioni tecniche
comfort
tessuto morbido e caldo.
cintura larga e piatta con coulisse per un sostegno migliore.
tasca con zip
tasca con zip sulla schiena per trasportare le chiavi, il fazzoletto o un piccolo smartphone.
un'etichetta per confrontare l'impatto ambientale dei prodotti
l'impatto ambientale del prodotto viene calcolato sulla totalità  del ciclo di vita del prodotto attraverso indici diversi. per aiutarti a identificare facilmente i prodotti dalle migliori performance ambientali, è stata realizzata una valutazione a-b-c-d-e che pone a confronto tra loro i prodotti di una stessa tipologia (t-shirt, pantaloni, zaini, ecc.). decathlon è un attore volontario di questo processo di informazione ambientale. ulteriori info: https://www.youtube.com/watch?v=1f_nfgsms2m",donna,nero,no,15.39,img_8552601.jpg,,no,ecodesign,si,no
decathlon,8556844,https://www.decathlon.it/scarpe-uomo-kiprun-long-2-nere-id_8556844.html,scarpe running uomo kiprun long 2 nero-giallo,scarpe,running,kiprun,no,"abbiamo sviluppato queste scarpe da running da uomo per offrirti ammortizzamento e stabilità  negli allenamenti e nelle gare, fino alla maratona.grazie all'ammortizzamento e alla stabilità , le kiprun long 2 sono l'ideale in allenamento e in gara. potrai macinare chilometri e tagliare il traguardo in tutta serenità !i vantaggi
ammortizzamento
ammortizzamento per 1000 km grazie al k-ring al tallone, alla schiuma kalensole.
stabilità 
più stabilità  grazie al concetto arkstab.
leggerezza
330g il 43.
aderenza
più aderenza su suolo umido grazie alla struttura e alla geometria della suola.
rilancio
più slancio grazie al ritorno di energia della schiuma kalensole.
comfort di utilizzo
il concetto konly le rende adatte per falcate naturali,pronatrici e supinatrici.informazioni tecniche
drop 10mm
differenza di 10mm tra la parte anteriore e quella posteriore della suola.
l'importanza dell'ammortizzamento
per correre a lungo con massimo comfort e performance, abbiamo posto particolare attenzione alla suola, attraverso 2 concetti.
- k-ring: anello situato a livello del tallone, migliora l'ammortizzamento posteriore e permette la dispersione delle onde d'urto per proteggere efficacemente il corpo (articolazioni, schiena, ginocchiaã¢â‚¬â¦).
- kalensole: permette un miglioramento dell'ammortizzamento del 34%, un ritorno di energia +25% ed una durata di 1000km rispetto ad una schiuma tradizionale.
hai detto stabilitãƒâ‚¬?
delle scarpe stabili permettono di facilitare il movimento del piede e di ridurre gli sforzi per controllare il piede e la caviglia, per avere un appoggio più rilassato.
quindi abbiamo aumentato la superficie d'appoggio del piede, abbiamo aggiunto l'arkstab, un inserto in resina tpu al centro del piede e un rinforzo dietro al tallone.
















vedi altri",uomo,nero,no,70.39,img_8556844.jpg,allenamenti-gare,si,,no,si
decathlon,8548747,https://www.decathlon.it/t-shirt-uomo-run-dry-nera-id_8548747.html,t-shirt maniche lunghe running uomo run dry+ nera,maglia,t-shirt,kalenji,no,"abbiamo ideato questa t-shirt maniche lunghe traspirante per le tue uscite di running in primavera e in autunno, con tempo fresco.questa t-shirt è composta da un mix di fibre sintetiche e di cotone che conferisce un aspetto opaco. il taglio diritto è intramontabile. un futuro capo basic per il guardaroba sportivo!i vantaggi
traspirazione
tessuto traspirante per rimanere all'asciutto.
morbidezza
con fibre di cotone, per garantire morbidezza e comfort.informazioni tecniche
traspirabilitãƒâ‚¬
t-shirt ideata per lasciare all'asciutto durante la pratica. il sudore viene assorbito e asciuga rapidamente.
design intramontabile
la t-shirt maniche lunghe run dry + ti conquisterà  con il suo taglio intramontabile! si puà² indossare da sola o sopra ad un'altra t-shirt maniche corte. l'aspetto opaco conferisce un tocco ancora più maschile.
un'etichetta per confrontare l'impatto ambientale dei prodotti
l'impatto ambientale del prodotto viene calcolato sulla totalità  del ciclo di vita del prodotto attraverso indici diversi. per aiutarti a identificare facilmente i prodotti dalle migliori performance ambientali, è stata realizzata una valutazione a-b-c-d-e che pone a confronto tra loro i prodotti di una stessa tipologia (t-shirt, pantaloni, zaini, ecc.).
decathlon è un attore volontario di questo processo di informazione ambientale.
ulteriori info: https://www.youtube.com/watch?v=1f_nfgsms2m",uomo,nero,no,15.39,img_8548747.jpg,,no,,no,no
sportler,10783232,https://www.sportler.com/it/p/nike-dri-fit-maglia-running-uomo-10783232?filterFarbe=Black,Dri-FIT - maglia running - uomo,maglia,maglia,nike,si,"Maglia running da uomo Dri-FIT Men's Running T-Shirt di Nike a rapida asciugatura e molto confortevole, perfetta per le performance maggiori, con grafica speciale in omaggio all'annuale maratona di Berlino.
in tessuto misto cotone molto leggero e traspirante
tecnologia Dri-FIT per una sensazione di asciutto costante
girocollo
grafiche frontale e posteriore esclusive
logo Nike Run sul petto
vestibilità Regular Fit",uomo,nero,no,19.2,img_10783232.jpg,,si,,no,si
df sport specialist,98273789,https://www.df-sportspecialist.it/sport-specialist-manicotto-winter-warm/,manicotto winter warm,altro,vario,sport specialist,no,", Manicotto unisex elasticizzato,  caldo e comodo. Perfetto in autunnoinverno., UTILIZZO, Running, UTILIZZO, Ciclismo, TIPOLOGIA, Manicotti, TIPOLOGIA, Abbigliamento, SPORT, Running, SPORT, Ciclismo, TIPOLOGIA, Guanti e manicotti, TIPOLOGIA, Manicotti e gambali, CF PK-814-297-PE15",unisex,nero,no,19.9,img_img98273789.jpg,,si,,no,si
df sport specialist,98388458,https://www.df-sportspecialist.it/pro-touch-scarpe-amsterdam-iv-239584-911/,scarpe amsterdam iv,scarpe,scarpe,pro touch,no,"""La scarpa AMSTERDAM IV sarà la tua nuova alleata per una sessione di corsa più fresca e semplice: la tomaia in mesh assicura unottima traspirabilità durante tutta la corsa"",  mentre la suola in gomma strutturata super ammortizzante protegge il tuo piede da urti e colpi sul tallone. I dettagli riflettenti,  inoltre,  ti garantiscono una visibilità ottimale anche in condizioni di scarsa illuminazione.,   UTILIZZO:, Running, UTILIZZO:, Fitness, UTILIZZO:, Asfalto, TIPOLOGIA:, Jogging, UTILIZZO:, Palestra, TIPOLOGIA:, Calzature, CF: 239584-911""",uomo,blu,no,14.9,img_img98388458.jpg,,no,,no,no
sportler,10780977,https://www.sportler.com/it/p/nike-tech-running-top-running-uomo-10780977?filterFarbe=Orange,Tech Running - top running - uomo,maglia,maglia,nike,si,"Top running da uomo Tech Men's Running Tank di Nike essenziale e leggera, in tessuto a griglia per una maggiore aerazione, ti accompagna nelle sessioni di corsa più estreme con il massimo della freschezza.
in tessuto leggero e traspirante
tecnologia Dri-FIT per una sensazione di asciutto costante
pannello frontale in maglia ingegnerizzata
pannelli in mesh altamente traspirante sul retro
elementi riflettenti per maggiore visibilità
girocollo
giromanica confortevole
spacchetti laterali per maggiore libertà di movimento
vestibilità Slim Fit",uomo,arancione,si,34.2,img_10780977.jpg,,si,,no,si
df sport specialist,98345127,https://www.df-sportspecialist.it/gore-giacca-r7-gtx-m-an00-blu/,giacca r7 gtx m,maglia,giacca,gore wear,no,"La protezione completa dalla pioggia pur mantenendo la traspirabilità\ è un obiettivo elevato questa giacca leggera realizzata con il laminato GORE-TEXSHAKEDRY™  lo raggiunge. Un capo performante per i runner determinati che devono proseguire i loro allenamenti con qualsiasi tempo., Cappuccio anatomico, Se il tessuto esterno si bagna è sufficiente scuoterlo per asciugare la superficie, La costruzione rivoluzionaria della membrana elimina il tessuto esterno impedendo l'effetto di raffreddamento, Impermeabile nel tempo e antivento, Peso 118 g (Taglia L), Incredibilmente leggero, Il prodotto GORE-TEXActive più leggero e più traspirante, Minimo ingombro, Prodotti GORE-TEXActiveSuperleggeri,  estremamente traspiranti,  impermeabili all'acqua e al vento, Tasca con zip frontale raddoppia come tasca stow-away, GORE-TEXActive giacca con nuova tecnologia di prodotto SHAKEDRY™ , Orlo rinforzato per una chiusura più agevole della zip, Orlo elasticizzato, Tiretto zip per apertura agevolata, Cerniera sul davanti, UTILIZZO, Running, TIPOLOGIA, Abbigliamento, SPORT, Running, TIPOLOGIA, Giacche antivento, TIPOLOGIA, Giacche invernali, CF 100095",uomo,blu,no,284.95,img_img98345127.jpg,gare,si,,no,si
decathlon,8341809,https://www.decathlon.it/reggiseno-running-sportance-id_8341809.html,reggiseno running donna sportance nero,altro,reggiseno,kalenji,no,"abbiamo ideato questo reggiseno per le runner che vogliono indossare un vero reggiseno e non un top. il sostegno superiore è adatto per tutti gli sport.questo reggiseno per lo sport è realizzato con un tessuto tecnico leggero e traspirante che asciuga in fretta. le coppe avvolgenti sostengono perfettamente il seno.i vantaggi
sostegno del seno
sostegno superiore grazie alle coppe avvolgenti. urti ridotti del 37% *.
traspirazione
tessuto sottile sulle coppe e in maglia traforata sulla schiena e sotto al seno.
limitazione irritazioni
cuciture piatte nelle coppe per evitare gli sfregamenti sulla pelle.
regolabile
spalline regolabili, diritte o incrociate (gancio). gancio 3 posizioni.
facile da indossare / togliere
apertura classica come un reggiseno tradizionale.
libertà  di movimento
si possono incrociare le spalline per lasciare libere le scapole.informazioni tecniche
come viene assicurato il massimo sostegno del reggiseno da running sportance (livello 5 su una scala da 1 a 5)?
tutti i nostri prodotti sono approvati nei nostri laboratori con il nostro test di sostegno del seno (misurazione della diminuzione del movimento del seno durante il running). sono valutati e classificati da 1 (sostegno debole) a 5 (sostegno forte).
come tutti i modelli kalenji, questo reggiseno per lo sport è stato approvato a livello 5 ed è adatto per tutti gli sport con forti impatti.
*riduce gli impatti del 37% rispetto a un reggiseno classico nelle attività  con forti impatti.
che coppe ci sono sul reggiseno da running sportance?
il reggiseno per lo sport sportance ha 2 coppe morbide con spessore semplice (non imbottite). il materiale delle coppe, resistente e sottile, permette al reggiseno di asciugare rapidamente.
proponiamo anche top e reggiseni per lo sport con coppe imbottite traspiranti.
come ãƒë† stato ideato il reggiseno sportance?
abbiamo ideato questo reggiseno per lo sport per ottimizzare il comfort e garantire la protezione del seno:
come per tutti i modelli kalenji:
* non utilizziamo ferretti (rischio di ferite e di compressione delle ghiandole).
* riduciamo al minimo le cuciture a livello della mammella (rischio di irritazioni).
* favoriamo dei componenti che permettono la traspirabilità  (questo criterio punta al comfort ma riduce anche considerevolmente i rischi di irritazioni).





vedi altri",donna,,,10.39,img_8341809.jpg,,no,,no,no
df sport specialist,98386940,https://www.df-sportspecialist.it/hoka-scarpe-elevon-2/,scarpe uomo elevon 2,scarpe,scarpe,hoka,no,"Elevon 2,  una sneaker premium che garantisce ammortizzazione e un'esperienza d'uso stabile,  viene proposta in un'audace versione aggiornata. Il mesopiede e l'avampiede godono di un supporto superiore e all'interno sono presenti ali di supporto asimmetriche,  per una calzata personalizzata. Questa versione aggiornata offre un'ammortizzazione superiore,  che enfatizza il comfort della calzata,  e un tallone ampliato per transizioni più fluide. Reattiva e ammortizzata,  Elevon 2 è una sneaker che ti consente di accelerare il passo o scegliere un'andatura più lenta per recuperare., Ali di supporto anatomiche per una calzata personalizzata, Linguetta asimmetrica per una sensazione di stabilità, Linguetta con intagli strategici per ottimizzare la traspirabilità, Tomaia in mesh tecnico leggero,  traspirante e performante, Lo strato superiore dell'intersuola PROFLY™  garantisce spinte reattive e impatti delicati, Il tallone ampliato garantisce più ammortizzazione alla pianta del piede e transizioni più fluide, Presenta una Active Foot Frame più profonda nell'intersuola,  per un supporto superiore, Le scanalature strategiche sull'avampiede offrono una flessibilità superiore durante la spinta, La suola in gomma siliconica trasparente garantisce un'estetica pulita, 100% Vegan, UTILIZZO:, Running, TIPOLOGIA:, Scarpe, TIPOLOGIA:, Neutre, CF: 1106477-DSIB""",uomo,nero,no,112,img_img98386940.jpg,,si,vegan,si,si
decathlon,8380666,https://www.decathlon.it/t-shirt-donna-run-light-nera-id_8380666.html,t-shirt running donna run light nera,maglia,t-shirt,kalenji,no,"prodotto ideato per le donne che corrono con tempo caldo.t-shirt traspirante completamente aerata sulla schiena, con linee femminili e grande fluidità ! taglio leggermente ampio per maggiore libertà  di movimento.i vantaggi
traspirazione
tessuto traspirante per rimanere all'asciutto.
fluidità 
tessuto morbido e fluido che ti conquisterà !
libertà  di movimento
taglio leggermente ampio per essere a proprio agio e correre liberamente.informazioni tecniche
perchãƒâ€° scegliere una t-shirt specifica per correre?
il sudore è una reazione naturale che avviene quando fa caldo e quando si fa uno sforzo fisico.
ãƒë† meglio non indossare una t-shirt in cotone, perché il tessuto assorbe il sudore ma raffredda rapidamente la pelle perché non disperde il sudore verso l'esterno e non asciuga rapidamente. scegliendo una t-shirt adatta si aumenta il comfort, qualunque sia la durata della pratica.
traspirabilitãƒâ‚¬
il pannello sul davanti è in un materiale che limita la sensazione di umido grazie all'assorbimento, alla dispersione e all'asciugatura del sudore prodotto dal corpo in attività .
pannello posteriore interamente in mesh per una migliore circolazione dell'aria durante la pratica.
fluiditãƒâ‚¬
taglio un po' ampio e componente molto fluido per la massima libertà  di movimento. il 100% delle collaudatrici ha apprezzato questa t-shirt per il suo materiale morbido e fluido! tocca a te provarla!


vedi altri",donna,nero,no,6.39,img_8380666.jpg,,no,,no,no
nencini,382320,https://www.nencinisport.it/it/asics-bra-black.html,Asics Bra Black,maglia,maglia,asics,si,"Sia che tu stia affrontando una maratona o uno sprint, l'abbigliamento di supporto è indispensabile. Ecco perché il reggiseno da corsa ASICS è stato progettato pensando a te, per offrirti un supporto sia che lo indossi da solo o che lo sovrapponga ad altri articoli.

Tagliato al laser sul petto, il nostro reggiseno corto da corsa contemporaneo è stato realizzato con cura per ottenere una maggiore ventilazione. Il nastro elastico in rete sul fondo supporta la traspirazione, mentre gli inserti in rete con cuciture piatte ti permettono di rimanere comoda mentre ti muovi. Il reggiseno è realizzato in tessuto ad asciugatura rapida che tiene lontana l'umidità dal corpo.

Il nostro logo riflettente sul davanti aggiunge il tocco contemporaneo al tuo look.

Sostegno medio
Vestibilità aderente
Tagliato al laser sul petto
Inserti in rete con cuciture piatte
Orlo elastico in rete
Logo ASICS riflettente
Tessuto ad asciugatura rapida anti-umidità
RIDUCI",donna,nero,no,20,img_382320.jpg,,si,,no,si
sportler,10772663,https://www.sportler.com/it/p/under-armour-ua-stracker-2.0-maglia-running-uomo-10772663?filterFarbe=Black,UA Stracker 2.0 - maglia running - uomo,maglia,maglia,under armour,si,"Maglia running da uomo Stracker 2.0 Short Sleeves di Under Armour leggera e a rapida asciugatura per un extra comfort durante il tuo allenamento. La tecnologia UA Microthread rende il tessuto traspirante e permette al sudore di fuoriuscire velocemente donando una sensazione di freschezza duratura. La parte elastica del tessuto offre un'ampia liberà di movimento.
tecnologia UA Microthread traspirante e a rapida asciugatura
dettagli riflettenti per maggiore visibilità
pannelli laterali in mesh per una maggiore traspirazione
girocollo
cuciture delle spalle avanzate per un comfort ottimale
cuciture piatte antisfregamento
logo riflettente sul petto
vestibilità Fitted",uomo,nero,no,28,img_10772663.jpg,,si,,no,si
sportler,10888543,https://www.sportler.com/it/p/brooks-trascend-7-scarpe-running-stabili-donna-10888543?filterFarbe=Black%2FBlue,Trascend 7 - scarpe running stabili - donna,scarpe,scarpe,brooks,si,"Scarpe running stabili da donna Trascend 7 di Brooks supportiva e tecnologica, dall'efficace ammortizzazione, transizione fluida e comodità estrema, permette di macinare chilometri e chilometri senza compromessi.
sistema di sostegno olistico GuideRails
ammortizzazione molto morbida con intersuola in DNA Loft
soletta interna Ortholite® molto comoda
calzata felpata con stivaletto interno elasticizzato
trama doppio jaquard elastica e avvolgente",donna,nero,no,170,img_10888543.jpg,,si,,no,si
sportler,10840934,https://www.sportler.com/it/p/under-armour-fly-by-2.0-mini-2-in-1-pantaloni-corti-running-donna-10840934?filterFarbe=Black,Fly By 2.0 Mini 2-in-1 - pantaloni corti running - donna,pantaloni,pantaloni corti,under armour,si,"Pantaloni corti running da donna Fly By 2.0 Mini 2-in-1 Short di under Armour molto leggeri e traspiranti, con design due in uno per una copertura ottimale, perfetti per le sessioni di corsa all'insegna della velocità quando le temperature si fanno sentire.
tessuto molto leggero e traspirante HeatGear®, termoregolante
tecnologia Odor Control che limita la formazione di microbi e controlla gli odori
inserti laterali in mesh arioso
vita elastica fasciante
tasche laterali aperte
shorts interni integrati elastici
logo UA riflettente
lunghezza cavallo shorts interni: 10 cm
lunghezza cavallo shorts esterni: 7.5 cm
vestibilità Fitted Fit",donna,rosso,si,35,img_10840934.jpg,,si,,no,si
